Date,Price,Open,High,Low,Vol.,Change %,day
"Jul 30, 2021",42169.00,40034.40,42244.00,38373.00,7.77K,0.05,138.00
"Jul 29, 2021",40041.00,40004.00,40623.00,39282.00,4.07K,0.00,137.00
"Jul 28, 2021",40004.00,39563.00,40899.00,38822.00,7.98K,0.01,136.00
"Jul 27, 2021",39563.00,37296.00,39563.00,36436.00,6.04K,0.06,135.00
"Jul 26, 2021",37296.00,35422.00,40515.60,35276.00,16.31K,0.05,134.00
"Jul 25, 2021",35407.00,34620.00,35430.00,33906.00,2.78K,0.05,133.00
"Jul 24, 2021",33845.00,33597.10,34043.00,33422.00,3.34K,0.01,132.00
"Jul 23, 2021",33597.10,32320.00,33625.30,32020.00,3.97K,0.04,131.00
"Jul 22, 2021",32320.00,32141.00,32609.70,31747.00,5.23K,0.01,130.00
"Jul 21, 2021",32141.00,29806.10,32804.00,29545.00,8.25K,0.08,129.00
"Jul 20, 2021",29806.10,30847.00,31075.00,29341.00,8.88K,-0.03,128.00
"Jul 19, 2021",30847.00,31824.00,31924.00,30514.00,12.80K,-0.03,127.00
"Jul 18, 2021",31824.00,31559.00,32427.00,31211.80,12.41K,0.01,126.00
"Jul 17, 2021",31559.00,31427.00,31975.00,31224.00,13.71K,0.00,125.00
"Jul 16, 2021",31429.00,31875.00,32266.00,31055.00,5.38K,-0.01,124.00
"Jul 15, 2021",31857.00,32822.60,33194.00,31170.00,6.96K,-0.03,123.00
"Jul 14, 2021",32822.60,32727.00,33117.00,31596.00,5.19K,0.00,122.00
"Jul 13, 2021",32727.00,33090.00,33333.00,32210.00,4.02K,-0.01,121.00
"Jul 12, 2021",33090.00,34239.00,34624.00,32616.00,8.41K,-0.03,120.00
"Jul 11, 2021",34239.00,33506.00,34584.00,33317.00,2.15K,0.02,119.00
"Jul 10, 2021",33506.00,33769.00,34221.00,33024.00,6.46K,-0.01,118.00
"Jul 09, 2021",33769.00,32873.90,34044.00,32574.00,6.66K,0.03,117.00
"Jul 08, 2021",32873.90,33886.00,33939.00,32063.00,14.29K,-0.03,116.00
"Jul 07, 2021",33886.00,34256.00,35076.00,33826.00,3.51K,-0.01,115.00
"Jul 06, 2021",34140.00,33668.00,34858.80,33668.00,8.81K,0.01,114.00
"Jul 05, 2021",33668.00,35289.00,35289.00,33479.20,7.72K,-0.05,113.00
"Jul 04, 2021",35289.00,35494.00,35782.00,35289.00,2.93K,0.02,112.00
"Jul 03, 2021",34758.00,33816.00,34762.00,33561.60,2.89K,0.03,111.00
"Jul 02, 2021",33816.00,33554.40,33924.00,32727.00,5.15K,0.01,110.00
"Jul 01, 2021",33554.40,35043.50,35043.50,32821.00,5.82K,-0.04,109.00
"Jun 30, 2021",35043.50,35895.90,35981.00,34754.00,3.45K,-0.02,108.00
"Jun 29, 2021",35895.90,34484.00,36411.00,34316.70,5.51K,0.04,107.00
"Jun 28, 2021",34484.00,34717.00,35168.00,34152.00,6.18K,-0.01,106.00
"Jun 27, 2021",34717.00,32359.00,34717.00,32359.00,28.71K,0.07,105.00
"Jun 26, 2021",32359.00,31584.70,32359.00,30331.00,20.53K,0.02,104.00
"Jun 25, 2021",31584.00,34656.60,34915.00,31584.00,37.67K,-0.09,103.00
"Jun 24, 2021",34656.60,33703.00,35137.20,32530.00,4.86K,0.03,102.00
"Jun 23, 2021",33703.00,32553.00,34196.00,32553.00,9.14K,0.04,101.00
"Jun 22, 2021",32553.00,31761.00,33300.00,29927.00,26.87K,0.02,100.00
"Jun 21, 2021",31761.00,35631.00,35631.00,31475.00,23.45K,-0.11,99.00
"Jun 20, 2021",35631.00,35585.80,35966.00,33725.00,16.93K,0.00,98.00
"Jun 19, 2021",35585.80,35802.00,36236.00,35460.00,11.57K,-0.01,97.00
"Jun 18, 2021",35802.00,38061.00,38061.00,35490.00,11.42K,-0.06,96.00
"Jun 17, 2021",38061.00,38332.00,39324.00,37733.70,3.54K,-0.01,95.00
"Jun 16, 2021",38332.00,40139.00,40394.00,38332.00,6.79K,-0.05,94.00
"Jun 15, 2021",40139.00,40509.00,40708.80,39726.00,7.78K,-0.01,93.00
"Jun 14, 2021",40500.00,39004.00,40732.00,38812.00,9.73K,0.04,92.00
"Jun 13, 2021",39004.00,35531.00,39021.10,34984.00,8.99K,0.10,91.00
"Jun 12, 2021",35531.00,37338.00,37338.00,35185.00,7.38K,-0.05,90.00
"Jun 11, 2021",37338.00,36649.20,37427.00,36342.00,6.42K,0.02,89.00
"Jun 10, 2021",36649.20,37347.00,37933.00,36559.00,9.57K,-0.02,88.00
"Jun 09, 2021",37347.00,33415.00,37490.00,32673.00,26.97K,0.12,87.00
"Jun 08, 2021",33415.00,33596.00,33744.80,31547.60,12.92K,-0.01,86.00
"Jun 07, 2021",33596.00,35782.00,36613.30,33596.00,9.97K,-0.06,85.00
"Jun 06, 2021",35782.00,35543.00,36238.00,35496.00,6.51K,0.01,84.00
"Jun 05, 2021",35543.00,36844.00,37690.30,35296.00,6.59K,-0.04,83.00
"Jun 04, 2021",36854.00,39209.00,39209.00,36532.00,5.93K,-0.06,82.00
"Jun 03, 2021",39209.00,37590.00,39209.00,37371.00,5.75K,0.04,81.00
"Jun 02, 2021",37590.00,36672.60,38053.00,36192.30,3.97K,0.03,80.00
